ENROLLMENT TERM,SUBJECT AREA,CATLG NBR,GRD OFF,GRD COUNT,ENRL TOT,LONG CRSE TITLE
Fall 2020,STATS,154,A+,1,31,Modern Statistical Prediction and Machine Learning
Fall 2020,STATS,154,A,13,31,Modern Statistical Prediction and Machine Learning
Fall 2020,STATS,154,A-,6,31,Modern Statistical Prediction and Machine Learning
Fall 2020,STATS,154,B+,3,31,Modern Statistical Prediction and Machine Learning
Fall 2020,STATS,154,B,4,31,Modern Statistical Prediction and Machine Learning
Fall 2020,STATS,154,C,4,31,Modern Statistical Prediction and Machine Learning
Spring 2021,STATS,154,A+,3,23,Modern Statistical Prediction and Machine Learning
Spring 2021,STATS,154,A,5,23,Modern Statistical Prediction and Machine Learning
Spring 2021,STATS,154,A-,7,23,Modern Statistical Prediction and Machine Learning
Spring 2021,STATS,154,B+,3,23,Modern Statistical Prediction and Machine Learning
Spring 2021,STATS,154,B,3,23,Modern Statistical Prediction and Machine Learning
Spring 2021,STATS,154,B-,2,23,Modern Statistical Prediction and Machine Learning
Fall 2021,STATS,154,A+,3,24,Modern Statistical Prediction and Machine Learning
Fall 2021,STATS,154,A,5,24,Modern Statistical Prediction and Machine Learning
Fall 2021,STATS,154,A-,6,24,Modern Statistical Prediction and Machine Learning
Fall 2021,STATS,154,B+,1,24,Modern Statistical Prediction and Machine Learning
Fall 2021,STATS,154,B,2,24,Modern Statistical Prediction and Machine Learning
Fall 2021,STATS,154,B-,4,24,Modern Statistical Prediction and Machine Learning
Fall 2021,STATS,154,C+,1,24,Modern Statistical Prediction and Machine Learning
Fall 2021,STATS,154,C,1,24,Modern Statistical Prediction and Machine Learning
Fall 2021,STATS,154,C-,1,24,Modern Statistical Prediction and Machine Learning
Spring 2022,STATS,154,A,10,43,Modern Statistical Prediction and Machine Learning
Spring 2022,STATS,154,A-,6,43,Modern Statistical Prediction and Machine Learning
Spring 2022,STATS,154,B+,3,43,Modern Statistical Prediction and Machine Learning
Spring 2022,STATS,154,B,10,43,Modern Statistical Prediction and Machine Learning
Spring 2022,STATS,154,C+,3,43,Modern Statistical Prediction and Machine Learning
Spring 2022,STATS,154,C,10,43,Modern Statistical Prediction and Machine Learning
Spring 2022,STATS,154,C-,1,43,Modern Statistical Prediction and Machine Learning
Fall 2022,STATS,154,A+,3,21,Modern Statistical Prediction and Machine Learning
Fall 2022,STATS,154,A,11,21,Modern Statistical Prediction and Machine Learning
Fall 2022,STATS,154,B+,2,21,Modern Statistical Prediction and Machine Learning
Fall 2022,STATS,154,B,1,21,Modern Statistical Prediction and Machine Learning
Fall 2022,STATS,154,B-,4,21,Modern Statistical Prediction and Machine Learning
Spring 2023,STATS,154,A+,2,25,Modern Statistical Prediction and Machine Learning
Spring 2023,STATS,154,A,6,25,Modern Statistical Prediction and Machine Learning
Spring 2023,STATS,154,A-,6,25,Modern Statistical Prediction and Machine Learning
Spring 2023,STATS,154,B+,2,25,Modern Statistical Prediction and Machine Learning
Spring 2023,STATS,154,B,2,25,Modern Statistical Prediction and Machine Learning
Spring 2023,STATS,154,C+,3,25,Modern Statistical Prediction and Machine Learning
Spring 2023,STATS,154,C-,2,25,Modern Statistical Prediction and Machine Learning
Spring 2023,STATS,154,D,2,25,Modern Statistical Prediction and Machine Learning
Fall 2024,STATS,154,A+,1,29,Modern Statistical Prediction and Machine Learning
Fall 2024,STATS,154,A,8,29,Modern Statistical Prediction and Machine Learning
Fall 2024,STATS,154,A-,2,29,Modern Statistical Prediction and Machine Learning
Fall 2024,STATS,154,B+,3,29,Modern Statistical Prediction and Machine Learning
Fall 2024,STATS,154,B,4,29,Modern Statistical Prediction and Machine Learning
Fall 2024,STATS,154,C+,2,29,Modern Statistical Prediction and Machine Learning
Fall 2024,STATS,154,C,4,29,Modern Statistical Prediction and Machine Learning
Fall 2024,STATS,154,C-,5,29,Modern Statistical Prediction and Machine Learning
Spring 2025,STATS,154,A,5,33,Modern Statistical Prediction and Machine Learning
Spring 2025,STATS,154,A-,6,33,Modern Statistical Prediction and Machine Learning
Spring 2025,STATS,154,B+,8,33,Modern Statistical Prediction and Machine Learning
Spring 2025,STATS,154,B,7,33,Modern Statistical Prediction and Machine Learning
Spring 2025,STATS,154,C+,2,33,Modern Statistical Prediction and Machine Learning
Spring 2025,STATS,154,C,2,33,Modern Statistical Prediction and Machine Learning
Spring 2025,STATS,154,C-,3,33,Modern Statistical Prediction and Machine Learning
