ENROLLMENT TERM,SUBJECT AREA,CATLG NBR,GRD OFF,GRD COUNT,ENRL TOT,LONG CRSE TITLE
Fall 2020,STATS,33A,A+,3,65,Introduction to Programming in R
Fall 2020,STATS,33A,A,33,65,Introduction to Programming in R
Fall 2020,STATS,33A,A-,15,65,Introduction to Programming in R
Fall 2020,STATS,33A,B+,4,65,Introduction to Programming in R
Fall 2020,STATS,33A,B,5,65,Introduction to Programming in R
Fall 2020,STATS,33A,B-,2,65,Introduction to Programming in R
Fall 2020,STATS,33A,D,2,65,Introduction to Programming in R
Fall 2020,STATS,33A,F,1,65,Introduction to Programming in R
Spring 2021,STATS,33A,A+,2,45,Introduction to Programming in R
Spring 2021,STATS,33A,A,32,45,Introduction to Programming in R
Spring 2021,STATS,33A,A-,5,45,Introduction to Programming in R
Spring 2021,STATS,33A,B+,4,45,Introduction to Programming in R
Spring 2021,STATS,33A,B,1,45,Introduction to Programming in R
Spring 2021,STATS,33A,C,1,45,Introduction to Programming in R
Fall 2021,STATS,33A,A+,3,44,Introduction to Programming in R
Fall 2021,STATS,33A,A,13,44,Introduction to Programming in R
Fall 2021,STATS,33A,A-,6,44,Introduction to Programming in R
Fall 2021,STATS,33A,B+,8,44,Introduction to Programming in R
Fall 2021,STATS,33A,B,5,44,Introduction to Programming in R
Fall 2021,STATS,33A,B-,3,44,Introduction to Programming in R
Fall 2021,STATS,33A,C+,1,44,Introduction to Programming in R
Fall 2021,STATS,33A,C,1,44,Introduction to Programming in R
Fall 2021,STATS,33A,C-,2,44,Introduction to Programming in R
Fall 2021,STATS,33A,F,2,44,Introduction to Programming in R
Spring 2022,STATS,33A,A+,15,47,Introduction to Programming in R
Spring 2022,STATS,33A,A,15,47,Introduction to Programming in R
Spring 2022,STATS,33A,A-,5,47,Introduction to Programming in R
Spring 2022,STATS,33A,B+,5,47,Introduction to Programming in R
Spring 2022,STATS,33A,B,1,47,Introduction to Programming in R
Spring 2022,STATS,33A,B-,2,47,Introduction to Programming in R
Spring 2022,STATS,33A,C+,1,47,Introduction to Programming in R
Spring 2022,STATS,33A,C-,1,47,Introduction to Programming in R
Spring 2022,STATS,33A,F,2,47,Introduction to Programming in R
Fall 2022,STATS,33A,A+,12,44,Introduction to Programming in R
Fall 2022,STATS,33A,A,27,44,Introduction to Programming in R
Fall 2022,STATS,33A,A-,2,44,Introduction to Programming in R
Fall 2022,STATS,33A,B+,1,44,Introduction to Programming in R
Fall 2022,STATS,33A,B,1,44,Introduction to Programming in R
Fall 2022,STATS,33A,C+,1,44,Introduction to Programming in R
Spring 2023,STATS,33A,A+,1,54,Introduction to Programming in R
Spring 2023,STATS,33A,A,34,54,Introduction to Programming in R
Spring 2023,STATS,33A,A-,9,54,Introduction to Programming in R
Spring 2023,STATS,33A,B+,5,54,Introduction to Programming in R
Spring 2023,STATS,33A,B,3,54,Introduction to Programming in R
Spring 2023,STATS,33A,C+,1,54,Introduction to Programming in R
Spring 2023,STATS,33A,F,1,54,Introduction to Programming in R
Fall 2023,STATS,33A,A,20,60,Introduction to Programming in R
Fall 2023,STATS,33A,A-,21,60,Introduction to Programming in R
Fall 2023,STATS,33A,B+,9,60,Introduction to Programming in R
Fall 2023,STATS,33A,B,6,60,Introduction to Programming in R
Fall 2023,STATS,33A,B-,2,60,Introduction to Programming in R
Fall 2023,STATS,33A,F,2,60,Introduction to Programming in R
Spring 2024,STATS,33A,A,34,55,Introduction to Programming in R
Spring 2024,STATS,33A,A-,12,55,Introduction to Programming in R
Spring 2024,STATS,33A,B+,3,55,Introduction to Programming in R
Spring 2024,STATS,33A,B,2,55,Introduction to Programming in R
Spring 2024,STATS,33A,C+,1,55,Introduction to Programming in R
Spring 2024,STATS,33A,C-,1,55,Introduction to Programming in R
Spring 2024,STATS,33A,D,1,55,Introduction to Programming in R
Spring 2024,STATS,33A,F,1,55,Introduction to Programming in R
Spring 2025,STATS,33A,A,23,40,Introduction to Programming in R
Spring 2025,STATS,33A,A-,9,40,Introduction to Programming in R
Spring 2025,STATS,33A,B+,4,40,Introduction to Programming in R
Spring 2025,STATS,33A,B,1,40,Introduction to Programming in R
Spring 2025,STATS,33A,C+,1,40,Introduction to Programming in R
Spring 2025,STATS,33A,C-,1,40,Introduction to Programming in R
Spring 2025,STATS,33A,F,1,40,Introduction to Programming in R
