year,school,total_applied,total_accepted,uw_gpa_avg,sat_25,sat_avg,sat_75,act_25,act_avg,act_75,sat_math_25,sat_math_75,sat_english_25,sat_english_75,act_math_25,act_math_75,act_english_25,act_english_75,top_10p,top_25p,top_50p,bottom_50p,bottom_25p,uw_gpa_400,uw_gpa_375_399,uw_gpa_350_374,uw_gpa_325_349,uw_gpa_300_324,uw_gpa_100_299
2019,Hravard,43330,2009,,,,,33,,35,750,800,710,770,31,36,34,36,93%,98%,100%,0%,0%,70.55%,22.26%,4.94%,1.67%,0.42%,0.16%
2020,Hravard,40248,2015,,,,,33,,35,740,800,720,780,31,35,35,36,94%,98%,99.60%,0.40%,0.20%,75.76%,18.02%,4%,1.79%,0.32%,0.11%
2021,Harvard,57786,2318,,,,,33,,36,750,800,730,780,32,35,35,36,93.10%,98.90%,99.70%,0.30%,0.00%,72.91%,20.82%,4.18%,1.30%,0.43%,0.36%
2022,Harvard,61221,1984,,,,,34,35,36,760,800,730,780,32,35,35,36,92.20%,97.60%,99.80%,0.20%,0.20%,74.30%,20.47%,4.04%,0.51%,0.34%,0.34%
2023,Harvard,56937,1965,,,,,34,35,36,760,800,740,780,33,36,35,36,94.40%,99.38%,99.79%,0.21%,0%,74.02%,19.67%,4.10%,1.07%,0.82%,0.32%
2024,Harvard,54008,1970,,,,,34,35,36,770,800,740,780,32,36,35,36,94%,99%,100%,0%,0%,72.41%,22.20%,4.11%,0.60%,0.17%,0.51%
